title|note|item_name|backlink|path|context
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Le système des droits d’usage est reconnu par les historiens
comme ayant contribué en Ariège à une gestion durable des forêts
au sein d’une économie agrosylvopastorale. Si certains paysans
ariégeois ont parfois été responsables de dégradations, la déforestation dramatique qu’a connue le pays est à imputer principalement
aux prélèvements massifs de la marine royale et des forges privées.
Voir Jean-François Soulet, La Vie quotidienne dans les Pyrénées sous
l’Ancien Régime. Du XVIe au XVIIIe siècle, Paris, Hachette, 1974.
"|chap002.xhtml|#re1|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Cette histoire m’a tout de suite touchée. Car les Demoiselles parlaient, mais pas de la manière attendue ni
entendue par l’État et ses représentants. Elles ne donnaient ni leur nom, ni leur identité, ni leur témoignage
mais choisissaient plutôt de s’exprimer par apparitions,
par signes, comme cette forêt creuset de leur culture
dont elles défendaient <span>l’usage</span><a class=""renvoi"" epub:type=""noteref"" href=""#no1"" id=""re1"" role=""doc-noteref"">I</a>. Elles ne parlaient pas
<span epub:type=""pagebreak"" id=""pg_15"" role=""doc-pagebreak"" title=""14""></span>seulement “comme” cette forêt, elles s’exprimaient
aussi en elle, à travers elle. Au sommet de ses arbres, à
la pointe de ses branches, sur ses hauts lieux, le long de
ses chemins, au fond de ses vallons. Dans tous ces plis
et ces points clefs qu’elles signalaient du même coup
comme <span>irremplaçables</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no1"" id=""re2"" role=""doc-noteref"">1</a>.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Devenue un véritable leitmotiv de la pensée contemporaine au
XXe siècle, l’idée d’habiter poétiquement le monde trouve notamment sa source dans un poème de Friedrich Hölderlin, “En bleu
adorable”, dont Martin Heidegger alimentera la renommée en y
consacrant conférences et essais. Voir Friedrich Hölderlin, “En bleu
adorable”, traduction André du Bouchet in Œuvres, Paris, Bibliothèque de la Pléiade, 1977 et Martin Heidegger, “L’homme habite
en poète”, Essais et conférences, Paris, Gallimard, 1958, p. 224-245.
"|chap002.xhtml|#re3|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Au revers de leur révolte, les Demoiselles laissaient
apparaître une forme d’habiter poétique transportée
“du bleu azur” et des clochers surplombant le poème
<span>d’Hölderlin</span><a class=""renvoi"" epub:type=""noteref"" href=""#no2"" id=""re3"" role=""doc-noteref"">I</a> aux voûtes d’une forêt retissée de signes.
Leur langage formé dans la montagne et inséparable
d’elle ravivait une poésie ancestrale, cette <i>poïesis</i> des
Grecs qui transformait la matière et rappelait que, loin
des poèmes récités par cœur sur les bancs de l’école, le
poétique trouve son terreau dans nos façons de faire
signe et sens des lieux et de leurs mondes <span>vivants</span><a class=""renvoi"" epub:type=""noteref"" href=""#no3"" id=""re4"" role=""doc-noteref"">II</a>.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
II Dans la Grèce préclassique, la poïesis désignait une production impliquant une transformation de la matière et s’appliquait
notamment au domaine des productions et processus naturels.
Ce n’est qu’après Homère qu’elle en vient à qualifier le travail
créatif du verbe. Voir Henry Liddell, Robert Scott et Henry
Stuart Jones, A Greek-English Lexicon, Oxford, Clarendon Press,
1996, p. 1428.
"|chap002.xhtml|#re4|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Au revers de leur révolte, les Demoiselles laissaient
apparaître une forme d’habiter poétique transportée
“du bleu azur” et des clochers surplombant le poème
<span>d’Hölderlin</span><a class=""renvoi"" epub:type=""noteref"" href=""#no2"" id=""re3"" role=""doc-noteref"">I</a> aux voûtes d’une forêt retissée de signes.
Leur langage formé dans la montagne et inséparable
d’elle ravivait une poésie ancestrale, cette <i>poïesis</i> des
Grecs qui transformait la matière et rappelait que, loin
des poèmes récités par cœur sur les bancs de l’école, le
poétique trouve son terreau dans nos façons de faire
signe et sens des lieux et de leurs mondes <span>vivants</span><a class=""renvoi"" epub:type=""noteref"" href=""#no3"" id=""re4"" role=""doc-noteref"">II</a>.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Le mot organique est entendu ici comme ce qui croît depuis
l’intérieur d’un corps et de ses tissus vivants. Voir Josette Rey-Debove et Alain Rey (dir.), Dictionnaire Le Petit Robert, Paris,
Le Robert, 1986, p. 1321.
"|chap002.xhtml|#re6|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">D’une certaine manière, l’effondrement du mode
de vie des paysans ariégeois aboutissait pour moi à un
paradoxe. S’il conduisait ces derniers à <i>se déguiser</i> en
Demoiselles, il contribuait aussi à <i>mettre au jour</i> chez
eux une relation <span>organique</span><a class=""renvoi"" epub:type=""noteref"" href=""#no4"" id=""re6"" role=""doc-noteref"">I</a> au milieu naturel qui ne
leur fournissait pas seulement des moyens de survie
mais forgeait aussi leur langage et leur imaginaire. Poussant plus loin l’invitation du penseur écologiste Aldo
Leopold à “penser comme une <span>montagne</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no3"" id=""re7"" role=""doc-noteref"">3</a>”, le réseau
de liens magiques embrasé par l’insurrection des Demoiselles levait aussi le voile sur une manière, non seulement de penser, mais de <i>parler</i> “comme une montagne”.
En 2004, le jardinier-paysagiste Gilles Clément a forgé
la notion de “tiers paysage” pour désigner tous ces
espaces indécidés et en marge non répertoriés comme
richesses, ces lieux en clair-obscur “refuges d’une diversité animale et végétale n’exprimant ni le pouvoir ni la
soumission au <span>pouvoir</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no4"" id=""re8"" role=""doc-noteref"">4</a>”. Or ces Demoiselles que j’entendais par-delà les siècles parler dans ce langage si singulier, depuis leurs montagnes et leurs vallées écartées,
me suggéraient l’idée que derrière chaque délaissé, derrière chacun de ces “tiers paysages” décrits par Gilles
Clément, se cachait peut-être aussi quelque chose comme un “tiers <span>langage</span><a class=""renvoi"" epub:type=""noteref"" href=""#no5"" id=""re9"" role=""doc-noteref"">II</a>”.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
II Part non-verbale de notre langage faite de signes, d’images et
d’expériences sensibles qui prendrait forme au contact des milieux
naturels et nous permettrait de communiquer avec et à travers le
monde vivant.
"|chap002.xhtml|#re9|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">D’une certaine manière, l’effondrement du mode
de vie des paysans ariégeois aboutissait pour moi à un
paradoxe. S’il conduisait ces derniers à <i>se déguiser</i> en
Demoiselles, il contribuait aussi à <i>mettre au jour</i> chez
eux une relation <span>organique</span><a class=""renvoi"" epub:type=""noteref"" href=""#no4"" id=""re6"" role=""doc-noteref"">I</a> au milieu naturel qui ne
leur fournissait pas seulement des moyens de survie
mais forgeait aussi leur langage et leur imaginaire. Poussant plus loin l’invitation du penseur écologiste Aldo
Leopold à “penser comme une <span>montagne</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no3"" id=""re7"" role=""doc-noteref"">3</a>”, le réseau
de liens magiques embrasé par l’insurrection des Demoiselles levait aussi le voile sur une manière, non seulement de penser, mais de <i>parler</i> “comme une montagne”.
En 2004, le jardinier-paysagiste Gilles Clément a forgé
la notion de “tiers paysage” pour désigner tous ces
espaces indécidés et en marge non répertoriés comme
richesses, ces lieux en clair-obscur “refuges d’une diversité animale et végétale n’exprimant ni le pouvoir ni la
soumission au <span>pouvoir</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no4"" id=""re8"" role=""doc-noteref"">4</a>”. Or ces Demoiselles que j’entendais par-delà les siècles parler dans ce langage si singulier, depuis leurs montagnes et leurs vallées écartées,
me suggéraient l’idée que derrière chaque délaissé, derrière chacun de ces “tiers paysages” décrits par Gilles
Clément, se cachait peut-être aussi quelque chose comme un “tiers <span>langage</span><a class=""renvoi"" epub:type=""noteref"" href=""#no5"" id=""re9"" role=""doc-noteref"">II</a>”.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Voir note I p. 14.
"|chap002.xhtml|#re16|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">J’ai alors décidé d’explorer non pas ce que de nouveaux
imaginaires pouvaient créer comme pratiques, mais ce
que les nouvelles pratiques et façons d’habiter alternatives généraient comme récits. Il y avait là un défi : travailler l’idée d’“habitation poétique du <span>monde</span><a class=""renvoi"" epub:type=""noteref"" href=""#no6"" id=""re16"" role=""doc-noteref"">I</a>”, évoquée
si souvent de manière théorique, en l’étudiant pour la
première fois avec des outils ethnographiques, sur le terrain d’habitations réelles. Il ne s’agissait plus désormais
de chercher, comme le faisait l’essentiel des démarches
explorant les liens entre art et écologie, quels nouveaux
récits et formes artistiques nous allions pouvoir consommer comme des philtres magiques pour espérer avoir une
“prise de conscience” et réparer la nature. Il ne s’agissait
plus de se satisfaire d’une conception de l’art comme
sas ou excroissance développée entre une sphère de la
“nature” et une sphère de la “culture” conçues comme
séparées. Il s’agissait d’aller voir comment, sous l’effet
de certains modes de vie retissés dans les milieux naturels, ces champs étincelants que nous appelons “art” et
“poésie” se retrouvent comprimés par le rapprochement
des sphères naturelles et culturelles, puis éclatent à travers nos existences en minuscules bribes et paillettes que
nous allons pouvoir pister.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I En 1846, la population rurale constituée essentiellement de petits paysans atteint son maximum en France et représente 75,6 %
de la population nationale, soit trois Français sur quatre. De manière générale, jusqu’en 1945, la France reste “une nation de petits
paysans libres attachés à leur terre”. Voir Jacques Dupâquier, “Le
plein rural en France”, Espace, populations, sociétés, no 20, 1989,
p. 349-356 (349).
"|chap002.xhtml|#re17|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt_noind"">Bien sûr, beaucoup d’entre nous se demanderont légitimement : en quoi l’histoire de ces Demoiselles ou de
ces habitants autonomes me concerne-t-elle ? Pourquoi
y aurait-il un lien quelconque entre leurs combats passés ou présents et ma propre histoire ? Au-delà de la
<span epub:type=""pagebreak"" id=""pg_21"" role=""doc-pagebreak"" title=""20""></span>diversité des habitants autonomes et de leurs métiers,
âges ou orientations politiques, la réponse à cette question réside surtout dans le fait qu’une grande majorité
d’entre nous est originaire de milieux paysans dont les
moyens d’existence, les cultures et les mondes ont été éradiqués par l’industrialisation et l’urbanisation <span>étatiques</span><a class=""renvoi"" epub:type=""noteref"" href=""#no7"" id=""re17"" role=""doc-noteref"">I</a>.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Si certains habitants ont souhaité apparaître sous leur vrai
nom, la plupart des noms de lieux, prénoms et noms de famille
cités dans ce livre ont été anonymisés par respect pour l’intimité
des personnes concernées, selon une pratique courante dans les
enquêtes ethnographiques.
"|chap002.xhtml|#re19|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Ce sont, par exemple, ces ronciers et roseaux ayant
commencé à pousser, chez Antoine au Petit Bonheur,
à travers les murs de sa <span>yourte</span><a class=""renvoi"" epub:type=""noteref"" href=""#no8"" id=""re19"" role=""doc-noteref"">I</a>. S’infiltrant par en dessous, ils remontent le long des treillis, des perches, leurs
longs bras rampants formant une décoration vivante et
mouvante digne du château de <i>La Belle et la Bête</i> filmé
par <span>Jean Cocteau</span><a class=""renvoi"" epub:type=""noteref"" href=""note001.xhtml#no12"" id=""re20"" role=""doc-noteref"">12</a>. Ce sont ces bocaux de verre coloré
encastrés dans les murs d’une cabane et qui semblent
<span epub:type=""pagebreak"" id=""pg_23"" role=""doc-pagebreak"" title=""22""></span>faire provision de lumière, remisant pour l’hiver de
grandes rasades de photons à boire au bord du feu. C’est
aussi le “tractopoule”, ce poulailler mobile conçu pour
que la terre soit ameublie et fertilisée à mesure qu’on
le déplace et qui dessine les contours d’une nouvelle
créature mythologique entre volaille et tracteur, croisement étrange des règnes animal et machinique. Ou
bien ce sont encore ces clefs de tailles et de formes différentes que l’on remarque par terre chez Sylvie, collées
en ribambelles sur le seuil – des clefs en vacances, des
clefs à la retraite, que la porte balaie et caresse chaque
fois qu’on la pousse. Des clefs qui se moquent, aussi,
semble-t-il, nous suggérant que la véritable porte à pousser est peut-être ailleurs, dans ces profondeurs du sol
vers lesquelles elles orientent le regard.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
I Petite maison en bois, bois de palettes et torchis de terre et
paille, souvent dotée d’un toit de chaume.
"|chap002.xhtml|#re21|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Comme chez les Demoiselles, ces petites apparitions, formes et créatures hybrides se présentent disséminées sur de vastes terrains – dans l’île de Kerlidon
au large du Finistère gardée par Sergio, dans le village
troglodytique de Treffonde dont les grottes, tunnels et
parois affichent tout un bestiaire sculpté aux formes
enchevêtrées, dans la grande colline de Londine couverte de forêt ou dans le bocage si célèbre de la <small>ZAD
</small>de Notre-Dame-des-Landes. Au fil de mes séjours, je
les ai vues formant et déformant le quotidien de Charlot, ex-salarié trentenaire vivant en <span>chaumière</span><a class=""renvoi"" epub:type=""noteref"" href=""#no9"" id=""re21"" role=""doc-noteref"">I</a> dans le
grand labyrinthe vert de Nanterrel, de Gilles et Caroline, ex-ingénieurs parisiens ayant converti un pavillon
Phénix en maison <span>bioclimatique</span><a class=""renvoi"" epub:type=""noteref"" href=""#no10"" id=""re22"" role=""doc-noteref"">II</a>, de Bernard, mécanicien devenu maraîcher s’abritant dans un mobile home
caparaçonné de bois et de tôle.</p>"
[('Les vies autonomes, une enquête poétique', {'id': 'tit01'})]|"
II Maison dont l’implantation et la conception prennent en
compte le climat et l’environnement immédiat afin de réduire
les besoins en énergie pour le chauffage, la climatisation ou
l’éclairage.
"|chap002.xhtml|#re22|/run/media/olivier/HDD1/Nextcloud/Documents/Collapso/new_doc/Les vies autonomes, une enquête poétique -- Clara Breteau & Camille De toledo -- 2022 -- Actes Sud -- 32b847e9112f0a388cda1cab8b437436 -- Anna%u2019s Archive.epub|"<p class=""txt"">Comme chez les Demoiselles, ces petites apparitions, formes et créatures hybrides se présentent disséminées sur de vastes terrains – dans l’île de Kerlidon
au large du Finistère gardée par Sergio, dans le village
troglodytique de Treffonde dont les grottes, tunnels et
parois affichent tout un bestiaire sculpté aux formes
enchevêtrées, dans la grande colline de Londine couverte de forêt ou dans le bocage si célèbre de la <small>ZAD
</small>de Notre-Dame-des-Landes. Au fil de mes séjours, je
les ai vues formant et déformant le quotidien de Charlot, ex-salarié trentenaire vivant en <span>chaumière</span><a class=""renvoi"" epub:type=""noteref"" href=""#no9"" id=""re21"" role=""doc-noteref"">I</a> dans le
grand labyrinthe vert de Nanterrel, de Gilles et Caroline, ex-ingénieurs parisiens ayant converti un pavillon
Phénix en maison <span>bioclimatique</span><a class=""renvoi"" epub:type=""noteref"" href=""#no10"" id=""re22"" role=""doc-noteref"">II</a>, de Bernard, mécanicien devenu maraîcher s’abritant dans un mobile home
caparaçonné de bois et de tôle.</p>"
